name,estimated_data_size (eds in bytes),eds/L1_cache,eds/L2_cache,eds/L3_cache,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_TLB_DM,PAPI_BR_TKN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_TCA,Runtime (secs)
2mm_N2000,160000000,4882.812500,610.351562,6.103516,17092730637,8205407919,16036791303,8208889123,5427,16008004013,8004247,16036571861,16036608214,120.878743
2mm_N2100,176400000,5383.300781,672.912598,6.729126,20847610684,2472707618,18619050054,2472757107,4869,18530824213,8824526,18618832538,18618916094,152.998054
2mm_N2200,193600000,5908.203125,738.525391,7.385254,23963638767,2682467411,21415041956,2682454726,6500,21305684413,9684562,21414985754,21414925792,128.233843
2mm_N2300,211600000,6457.519531,807.189941,8.071899,27395960605,3158522142,24460276080,3158981951,4972,24344584613,10584795,24459794724,24459882935,205.499856
2mm_N2400,230400000,7031.250000,878.906250,8.789062,28628116279,28518501483,27690582656,28518790302,5022,27659524813,11525432,27690586278,27691044535,233.512033
3mm_N64,229376,7.000000,0.875000,0.008750,206373,566,52052,640,23,798925,12508,52767,52723,0.002641
3mm_N128,917504,28.000000,3.500000,0.035000,6259268,2935,2361555,3032,76,6341005,49555,2363137,2360671,0.023218
3mm_N256,3670016,112.000000,14.000000,0.140000,50596978,50444283,50396553,50445294,296,50529037,197375,50352860,50374614,0.325607
3mm_N300,5040000,153.808594,19.226074,0.192261,13373247,10362081,12783181,10361663,686,81270913,271177,12796088,12493419,0.320649
3mm_N400,8960000,273.437500,34.179688,0.341797,203905136,24034837,192865806,24036656,4414,192481213,481226,192959129,192904057,1.175400
3mm_N512,14680064,448.000000,56.000000,0.560000,404582242,403575659,403872224,403582301,9435,403441165,787425,403877381,403861844,2.769794
3mm_N600,20160000,615.234375,76.904297,0.769043,728604371,81331021,652327996,81331554,12497,649081813,1082548,591470986,593643630,2.603304
3mm_N700,27440000,837.402344,104.675293,1.046753,1249388572,141880300,1073155982,149660565,4990,1030472113,1472833,1033770982,1034659051,4.264291
3mm_N800,35840000,1093.750000,136.718750,1.367188,1586738721,357350558,1538056463,357722622,19049,1537922413,1922487,1538175552,1577094026,10.374239
3mm_N900,45360000,1384.277344,173.034668,1.730347,2460032871,274215419,2200182226,274210051,17906,2189432713,2432748,2200079545,2201488314,8.804272
3mm_N1024,58720256,1792.000000,224.000000,2.240000,3233667920,3214294355,3228889001,3224822369,62,3224374285,3149192,3229083109,3229094605,20.129658
3mm_N1100,67760000,2067.871094,258.483887,2.584839,4497091207,502118262,4017416718,501910725,8885,3996633313,3633572,4018847330,4018467903,15.876892
3mm_N1200,80640000,2460.937500,307.617188,3.076172,5533262483,679259615,5270975357,650356086,103,5188323613,4323733,5199941659,5199903015,19.510419
3mm_N1300,94640000,2888.183594,361.022949,3.610229,7415720064,826280322,6630374939,825005291,2939,6596073913,5074321,6626960835,6628878125,25.959520
3mm_N1400,109760000,3349.609375,418.701172,4.187012,9266616384,1031101806,8910236715,1030625304,112,8237884213,5884259,8280742094,8280961637,30.316252
3mm_N1500,126000000,3845.214844,480.651855,4.806519,11401288914,1323010474,10181688079,1328845613,2984,10131754513,6755132,10182864003,10182650047,39.849442
3mm_N1600,143360000,4375.000000,546.875000,5.468750,12500898536,12480144577,12298720269,12480278012,1552,12295684813,7684952,12298602658,12299112905,113.186575
3mm_N1700,161840000,4938.964844,617.370605,6.173706,16594950323,1851616012,14823260156,1847036894,4036,14747675113,8677816,14823460932,14823379392,63.625663
3mm_N1800,181440000,5537.109375,692.138672,6.921387,19693909963,2191668182,17600524648,2191712792,5827,17505725413,9726556,17600144157,17600486651,85.663252
3mm_N1900,202160000,6169.433594,771.179199,7.711792,23174369934,2599634044,20691649317,2599705203,5504,20587835713,10836533,20691831335,20692437638,145.824365
3mm_N2000,224000000,6835.937500,854.492188,8.544922,25651630735,12392237700,24058136835,12364739643,3734,24012006013,12008735,24058125191,24057728494,178.525364
3mm_N2100,246960000,7536.621094,942.077637,9.420776,31283855385,3705190475,27934880486,3705270510,3962,27796236313,13237724,27934766427,27934976492,225.945764
3mm_N2200,271040000,8271.484375,1033.935547,10.339355,35966065746,4020067465,32121423501,4019516982,11224,31958526613,14528442,32121638001,32121590912,188.400916
3mm_N2300,296240000,9040.527344,1130.065918,11.300659,41110217010,4731129974,36646214402,4731169292,7334,36516876913,15879087,36646735964,36646112412,302.137910
3mm_N2400,322560000,9843.750000,1230.468750,12.304688,42949350021,42779630047,41532443276,42779294357,4216,41489287213,17291211,41532164934,41532373995,342.595177
adi_N1_128,393216,12.000000,1.500000,0.015000,24667,3897,4766,4053,65,65547,526,3155,4834,0.000554
adi_N1_256,1572864,48.000000,6.000000,0.060000,105245,14059,11515,13924,253,262155,1043,19096,11507,0.002160
adi_N1_300,2160000,65.917969,8.239746,0.082397,142096,13036,23949,13107,352,360011,1229,24274,25337,0.002998
adi_N1_400,3840000,117.187500,14.648438,0.146484,240988,20660,51969,20486,512,640011,1624,52337,46051,0.007926
adi_N1_512,6291456,192.000000,24.000000,0.240000,437964,27251,85104,27739,4813,1048587,2066,83208,92183,0.008738
adi_N1_600,8640000,263.671875,32.958984,0.329590,590811,44599,79903,44966,4839,1440011,2427,78449,81094,0.012142
adi_N1_700,11760000,358.886719,44.860840,0.448608,810471,55412,116282,54851,4928,1960011,2832,112968,112754,0.016626
adi_N1_800,15360000,468.750000,58.593750,0.585938,1018857,49960,142647,49957,49,2560011,3231,169862,164939,0.031905
adi_N1_900,19440000,593.261719,74.157715,0.741577,1313407,56006,164080,54621,1780,3240011,3645,106799,159342,0.027321
adi_N1_1024,25165824,768.000000,96.000000,0.960000,1748726,80411,371341,79955,4316,4194315,4164,376626,374201,0.035320
adi_N2_128,393216,12.000000,1.500000,0.015000,48642,6577,9108,6850,66,131081,1052,7701,10524,0.001094
adi_N2_256,1572864,48.000000,6.000000,0.060000,209881,26380,38144,26057,221,524297,2051,37340,37582,0.004314
adi_N2_300,2160000,65.917969,8.239746,0.082397,283401,24477,51538,25153,355,720009,2422,49713,49728,0.005987
adi_N2_400,3840000,117.187500,14.648438,0.146484,485314,39459,106966,39446,638,1280009,3238,89354,100084,0.016965
adi_N2_512,6291456,192.000000,24.000000,0.240000,876502,51972,177592,51516,8845,2097161,3978,183552,183656,0.018213
adi_N2_600,8640000,263.671875,32.958984,0.329590,1178653,85655,160582,85773,9108,2880009,4845,161651,161980,0.024581
adi_N2_700,11760000,358.886719,44.860840,0.448608,1615272,98902,220415,98529,8194,3920009,5636,224596,221629,0.034023
adi_N2_800,15360000,468.750000,58.593750,0.585938,2055684,112005,335233,112029,6382,5120009,6441,357881,342225,0.067744
adi_N2_900,19440000,593.261719,74.157715,0.741577,2629314,127817,329975,128839,7278,6480009,7249,219734,327044,0.056091
adi_N2_1024,25165824,768.000000,96.000000,0.960000,3510640,154388,816094,157898,7676,8388617,8164,813127,966392,0.072561
adi_N4_64,98304,3.000000,0.375000,0.003750,22449,333,4191,423,4,65541,322,4016,4102,0.000513
adi_N4_128,393216,12.000000,1.500000,0.015000,96764,11676,13764,12505,65,262149,2106,18945,13096,0.002156
adi_N4_256,1572864,48.000000,6.000000,0.060000,419609,52686,46447,53110,252,1048581,4118,72953,75019,0.008664
adi_N4_300,2160000,65.917969,8.239746,0.082397,558641,48521,91197,48808,356,1440005,4859,89471,100631,0.011954
adi_N4_400,3840000,117.187500,14.648438,0.146484,980263,78445,184219,78546,749,2560005,6455,184466,183836,0.032479
adi_N4_512,6291456,192.000000,24.000000,0.240000,1753661,101084,374237,103719,17119,4194309,8244,368740,274644,0.034990
adi_N4_600,8640000,263.671875,32.958984,0.329590,2354822,169406,324826,173433,17487,5760005,9650,325410,321563,0.048712
adi_N4_700,11760000,358.886719,44.860840,0.448608,3244628,175353,427516,179900,9728,7840005,11281,439833,425981,0.066361
adi_N4_800,15360000,468.750000,58.593750,0.585938,4078248,193778,627083,195737,4561,10240005,12861,624835,624582,0.135072
adi_N4_900,19440000,593.261719,74.157715,0.741577,5533689,251321,675729,254071,14481,12960005,14452,558137,553301,0.108073
adi_N4_1024,25165824,768.000000,96.000000,0.960000,7574099,304989,1859383,305845,8,16777221,16424,1635714,1870347,0.141159
adi_N8_64,98304,3.000000,0.375000,0.003750,44451,346,6771,431,4,131069,613,6615,6728,0.001025
adi_N8_128,393216,12.000000,1.500000,0.015000,192843,24071,35925,24120,65,524285,4178,25018,36595,0.004475
adi_N8_256,1572864,48.000000,6.000000,0.060000,840794,104365,153814,104989,244,2097149,8156,152343,148041,0.018029
adi_N8_300,2160000,65.917969,8.239746,0.082397,1133989,95771,179110,97318,353,2879997,9683,180836,183029,0.024461
adi_N8_400,3840000,117.187500,14.648438,0.146484,1922760,157175,371940,157160,1049,5119997,12908,417137,429844,0.064141
adi_N8_512,6291456,192.000000,24.000000,0.240000,3508779,202809,648868,199087,33461,8388605,16491,747994,745554,0.069883
adi_N8_600,8640000,263.671875,32.958984,0.329590,4695165,412041,621112,412799,28798,11519997,19283,627488,623908,0.097027
adi_N8_700,11760000,358.886719,44.860840,0.448608,6496587,356107,890606,353670,18808,15679997,22514,854407,860523,0.132234
adi_N8_800,15360000,468.750000,58.593750,0.585938,8154531,395163,1421986,397857,10649,20479997,25694,1365218,1499343,0.253701
adi_N8_900,19440000,593.261719,74.157715,0.741577,11040653,510667,882305,508922,28181,25919997,28887,1305692,1338246,0.217323
adi_N8_1024,25165824,768.000000,96.000000,0.960000,14717311,639244,3099445,637256,29510,33554429,32872,3545253,3090563,0.280716
adi_N16_32,24576,0.750000,0.093750,0.000937,852,94,425,181,4,65517,190,416,570,0.000504
adi_N16_64,98304,3.000000,0.375000,0.003750,88043,364,13899,471,5,262125,1262,13666,13900,0.002047
adi_N16_128,393216,12.000000,1.500000,0.015000,384836,48613,78874,48846,65,1048557,8385,55365,55618,0.008648
adi_N16_256,1572864,48.000000,6.000000,0.060000,1688667,206100,310288,209016,187,4194285,16529,327663,207025,0.036144
adi_N16_300,2160000,65.917969,8.239746,0.082397,2261802,192724,389834,191348,337,5759981,19348,428905,433907,0.050103
adi_N16_400,3840000,117.187500,14.648438,0.146484,3917928,309939,842319,311055,1478,10239981,25754,806050,792327,0.127805
adi_N16_512,6291456,192.000000,24.000000,0.240000,7000617,406290,1470836,407918,66312,16777197,32427,1542453,1252095,0.141911
adi_N16_600,8640000,263.671875,32.958984,0.329590,9425874,693265,1344606,694560,68028,23039981,38600,1432847,1366151,0.191164
adi_N16_700,11760000,358.886719,44.860840,0.448608,12914895,635352,1678057,632199,121,31359981,45003,2046319,1928409,0.267294
adi_N16_800,15360000,468.750000,58.593750,0.585938,16301547,811242,2469834,810422,20259,40959981,51377,2440915,2040913,0.529846
adi_N16_900,19440000,593.261719,74.157715,0.741577,22180961,1014809,2790930,1007892,62308,51839981,57777,2832125,3128702,0.432418
adi_N16_1024,25165824,768.000000,96.000000,0.960000,30216389,1274085,7192444,1275479,57250,67108845,65718,7329848,7958335,0.570247
adi_N32_32,24576,0.750000,0.093750,0.000937,1401,94,870,179,4,131021,330,615,801,0.000999
adi_N32_64,98304,3.000000,0.375000,0.003750,175519,353,23385,519,4,524237,2481,23094,23286,0.004092
