name,estimated_data_size (eds in bytes),eds/L1_cache,eds/L2_cache,eds/L3_cache,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_TLB_DM,PAPI_BR_TKN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_TCA,Runtime (secs)
2mm_N64,163840,5.000000,0.625000,0.010417,116858,501,31645,535,23,532621,8327,31685,31645,0.002842
2mm_N128,655360,20.000000,2.500000,0.041667,4171499,537433,1740457,536659,79,4227341,33099,1742548,1734611,0.023324
2mm_N256,2621440,80.000000,10.000000,0.166667,33733187,33636687,33590767,33631101,318,33686029,131638,33583231,33585535,0.265908
2mm_N300,3600000,109.863281,13.732910,0.228882,9004254,6904007,8608528,6904145,635,54180613,180640,8477678,8476313,0.264263
2mm_N400,6400000,195.312500,24.414062,0.406901,135974008,16014976,128533540,16015656,4035,128320813,321243,128187840,128178179,0.850286
2mm_N512,10485760,320.000000,40.000000,0.666667,269463678,268950793,268962244,268954003,14644,268960781,524817,268956626,268958755,1.850658
2mm_N600,14400000,439.453125,54.931641,0.915527,566738346,64943242,434081658,64949102,13232,432721213,721657,434275380,410085698,1.844844
2mm_N700,19600000,598.144531,74.768066,1.246134,804799897,85911856,689294325,102099150,3057,686981413,981903,689274350,689106848,3.112130
2mm_N800,25600000,781.250000,97.656250,1.627604,1057641621,227503293,1024914898,226748972,10067,1025281613,1281820,1024748613,1024794037,6.459810
2mm_N900,32400000,988.769531,123.596191,2.059937,1640188693,182761551,1466650252,182761372,15251,1459621813,1622182,1467513833,1467192573,6.295011
2mm_N1024,41943040,1280.000000,160.000000,2.666667,2157036723,2150339892,2152913219,2149478599,153,2149582861,2099226,2152920251,2152924590,12.654171
2mm_N1100,48400000,1477.050781,184.631348,3.077189,2997989852,334794361,2677462859,334794116,11504,2664422213,2422795,2678450331,2677997007,11.402008
2mm_N1200,57600000,1757.812500,219.726562,3.662109,3688972889,433463933,3466872620,433255039,93,3458882413,2882506,3466863305,3467387945,13.964560
2mm_N1300,67600000,2062.988281,257.873535,4.297892,4946576796,552049235,4539475278,550494506,209,4397382613,3382644,4419935856,4419236050,21.029227
2mm_N1400,78400000,2392.578125,299.072266,4.984538,6179558441,687381449,6020248718,687311437,1385,5491922813,3922843,5521030666,5521016703,28.272677
2mm_N1500,90000000,2746.582031,343.322754,5.722046,7597648485,886897759,6787880983,886968491,2312,6754503013,4503287,6787706487,6787746108,50.486887
2mm_N1600,102400000,3125.000000,390.625000,6.510417,8330941944,8322489221,8198608509,8322258973,2619,8197123213,5127961,8197638849,8197934230,89.357503
2mm_N1700,115600000,3527.832031,440.979004,7.349650,11062054945,1231781477,9879361047,1231803168,3634,9831783413,5783539,9879304041,9879139097,79.685140
2mm_N1800,129600000,3955.078125,494.384766,8.239746,13140015530,1463995705,11730680269,1464017818,4940,11670483613,6483664,11730825122,11730788972,70.734084
2mm_N1900,144400000,4406.738281,550.842285,9.180705,15438384962,1734308242,13788665948,1734447090,3429,13725223813,7223879,13788723652,13788735913,115.494922
2mm_N2000,160000000,4882.812500,610.351562,10.172526,17096767189,8237853863,16037168042,8251774486,5791,16008004013,8004237,16036740792,16036836555,122.560797
2mm_N2100,176400000,5383.300781,672.912598,11.215210,20841790750,2474180495,18619172403,2474177772,6080,18530824213,8824408,18619039569,18619226220,152.992400
2mm_N2200,193600000,5908.203125,738.525391,12.308757,23965017498,2681847697,21407664622,2681883224,2098,21305684413,9684607,21407633491,21407677961,131.140160
2mm_N2300,211600000,6457.519531,807.189941,13.453166,27393742462,3159084657,24462292415,3159058014,8910,24344584613,10584798,24462074297,24462209909,202.891710
2mm_N2400,230400000,7031.250000,878.906250,14.648438,28630964412,28523007659,27692151519,28520794498,5377,27659524813,11525061,27692103144,27692576868,228.788396
3mm_N64,229376,7.000000,0.875000,0.014583,199831,587,56655,673,28,798925,12489,56962,57053,0.003801
3mm_N128,917504,28.000000,3.500000,0.058333,6250052,3176,2286722,3185,76,6341005,49547,2286282,2293414,0.031360
3mm_N256,3670016,112.000000,14.000000,0.233333,50599737,50461288,50392649,50455681,277,50529037,197409,50391692,50411514,0.346638
3mm_N300,5040000,153.808594,19.226074,0.320435,13519679,10360314,12937912,10354768,501,81270913,270927,12851197,12796689,0.361077
3mm_N400,8960000,273.437500,34.179688,0.569661,203855165,24012924,192873330,24016245,7934,192481213,481217,192939555,192930320,1.183400
3mm_N512,14680064,448.000000,56.000000,0.933333,404451913,403446665,403740360,403450137,9522,403441165,787225,403763712,403848696,2.657793
3mm_N600,20160000,615.234375,76.904297,1.281738,896291859,102775510,651865848,104954858,1035,649081813,1082278,630733536,640087444,2.671034
3mm_N700,27440000,837.402344,104.675293,1.744588,1223684632,137597853,1035751254,137589776,51963,1030472113,1472136,1036128618,1035735041,4.372116
3mm_N800,35840000,1093.750000,136.718750,2.278646,1587448372,210116055,1538240649,193394176,2583,1537922413,1922444,1538084238,1538158082,9.468252
3mm_N900,45360000,1384.277344,173.034668,2.883911,2460368047,274039311,2201440668,273969836,1002,2189432713,2432817,2200313877,2199548390,9.006470
3mm_N1024,58720256,1792.000000,224.000000,3.733333,3233629742,3224468212,3228227050,3224507921,2548,3224374285,3149189,3228345323,3228223127,19.289016
3mm_N1100,67760000,2067.871094,258.483887,4.308065,4491161142,500539508,4017727227,499822800,3647,3996633313,3633360,4018689798,4018445706,16.286069
3mm_N1200,80640000,2460.937500,307.617188,5.126953,5532669611,650516429,5237763158,649848112,105,5188323613,4323689,5202023751,5200397782,20.324212
