name, integer_ops, flops, memory_ops, loads, stores, branch_ops, uncond_branch_ops, cond_branch_ops, comparison, cpu_ops, total_ops,vector_ops,data/L1_cache, data/L2_cache, data/L3_cache,num_loops, num_vec_loops, num_par_loops, num_par_dep_loops, num_vec_dep_loops, raw_dep, war_dep, waw_dep, num_bbs, num_edges,PAPI_L1_DCM, PAPI_L1_ICM, PAPI_L2_DCM, PAPI_L2_ICM, PAPI_L1_TCM, PAPI_L2_TCM, PAPI_FPU_IDL, PAPI_TLB_DM, PAPI_TLB_IM, PAPI_TLB_TL, PAPI_STL_ICY, PAPI_HW_INT, PAPI_BR_TKN, PAPI_BR_MSP, PAPI_TOT_INS, PAPI_FP_INS, PAPI_BR_INS, PAPI_VEC_INS, PAPI_RES_STL, PAPI_TOT_CYC, PAPI_L1_DCH, PAPI_L2_DCH, PAPI_L1_DCA, PAPI_L2_DCA, PAPI_L1_ICH, PAPI_L2_ICH, PAPI_L1_ICA, PAPI_L2_ICA, PAPI_L1_ICR, PAPI_L2_TCH, PAPI_L1_TCA, PAPI_L2_TCA, PAPI_FML_INS, PAPI_FAD_INS, PAPI_FDV_INS, PAPI_FSQ_INS, PAPI_FP_OPS, PAPI_SP_OPS, PAPI_DP_OPS,Runtime
2mm_N2, 476, 44, 421, 344, 77, 113, 70, 42, 42, 112, 1054,0,0.000610, 0.000076, 0.000002,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,23, 40, 7, 34, 47, 34, 2662, 1, 0, 1, 2407, 0, 78, 43, 1119, 44, 108, 120, 1090, 3632, 704, 3, 700, 10, 499, 7, 434, 40, 439, 10, 1190, 54, 28, 16, 0, 0, 44, 0, 44,0.000003
2mm_N4, 3304, 336, 2697, 2316, 381, 589, 378, 210, 210, 832, 6926,0,0.002441, 0.000305, 0.000010,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,27, 41, 11, 35, 52, 46, 3309, 1, 0, 1, 2656, 0, 246, 46, 6479, 336, 304, 884, 2027, 7458, 3297, 11, 3299, 25, 1310, 7, 1287, 40, 1277, 11, 4631, 67, 208, 128, 0, 0, 336, 0, 336,0.000004
2mm_N8, 24896, 2624, 19585, 17108, 2477, 3797, 2482, 1314, 1314, 6400, 50902,0,0.009766, 0.001221, 0.000038,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,29, 36, 11, 34, 46, 43, 3271, 1, 0, 1, 2675, 0, 1350, 67, 46887, 2624, 1512, 6852, 9098, 28306, 22275, 41, 22264, 51, 6958, 3, 6979, 35, 7001, 6, 29319, 96, 1600, 1024, 0, 0, 2624, 0, 2624,0.000013
2mm_N16, 193648, 20736, 149745, 131748, 17997, 27301, 18018, 9282, 9282, 50176, 391430,0,0.039062, 0.004883, 0.000153,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,115, 38, 83, 34, 130, 116, 10234, 4, 0, 4, 6883, 0, 9318, 585, 360695, 20736, 9880, 54020, 62911, 198727, 173400, 112, 173438, 196, 54310, 3, 54319, 38, 54288, 39, 227847, 246, 12544, 8192, 0, 0, 20736, 0, 20736,0.000088
2mm_N32, 1528016, 164864, 1171921, 1034564, 137357, 207173, 137410, 69762, 69762, 397312, 3071974,0,0.156250, 0.019531, 0.000610,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,364, 33, 298, 33, 372, 326, 32262, 11, 0, 11, 19376, 1, 69799, 2153, 2834199, 164864, 71929, 429060, 464435, 1461840, 1331169, 432, 1331478, 734, 395610, 16, 395588, 43, 395600, 91, 1727073, 767, 99328, 65536, 0, 0, 164864, 0, 164864,0.000652
2mm_N64, 12140944, 1314816, 9274257, 8200836, 1073421, 1614469, 1073538, 540930, 540930, 3162112, 24344486,0,0.625000, 0.078125, 0.002441,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,2562, 52, 1189, 30, 2213, 1212, 114077, 41, 0, 41, 69606, 5, 540971, 8366, 22476124, 1314816, 549309, 3420164, 3618294, 11336434, 10433428, 5169, 10435555, 6323, 3021294, 18, 3021211, 48, 3021259, 3610, 13456887, 6425, 790528, 524288, 0, 0, 1314816, 0, 1314816,0.004898
2mm_N128, 96797456, 10502144, 73795345, 65307908, 8487437, 12748037, 8487682, 4260354, 4260354, 25231360, 193842982,0,2.500000, 0.312500, 0.009766,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,4243517, 69, 8098, 34, 4243326, 8123, 420377, 165, 0, 165, 235521, 45, 4260435, 33138, 179030533, 10502144, 4293477, 27312132, 42957590, 103654625, 78371108, 4801396, 82614374, 4809396, 23607588, 28, 23607520, 61, 23607472, 4797672, 106222005, 4859647, 6307840, 4194304, 0, 0, 10502144, 0, 10502144,0.046918
2mm_N256, 773064208, 83951616, 588779025, 521275908, 67503117, 101321221, 67503618, 33817602, 33817602, 201588736, 1547116070,0,10.000000, 1.250000, 0.039062,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,33787948, 328, 10783504, 71, 33787375, 10779747, 1804197, 701, 0, 706, 939805, 484, 33818122, 132158, 1429148859, 83951616, 33949724, 218300420, 624113472, 1106139057, 623587145, 37211954, 657370069, 48006519, 186661952, 270, 186662575, 337, 186662502, 37195056, 844032426, 48211879, 50397184, 33554432, 0, 0, 83951616, 0, 83951616,0.505648
2mm_N300, 1243801816, 135090000, 947164217, 838623004, 108541213, 162903005, 108541802, 54361202, 54361202, 324360000, 2488959038,0,13.732910, 1.716614, 0.053644,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,6951257, 391, 6381286, 74, 6949851, 6382133, 2537992, 1292, 0, 1336, 1339329, 683, 54361867, 181399, 2082966262, 135090000, 54542500, 351270004, 634774722, 1396166036, 1050834507, 810520, 1057784389, 7191677, 300120658, 314, 300120467, 390, 300120808, 778924, 1357904862, 7220186, 81090000, 54000000, 0, 0, 135090000, 0, 135090000,0.615222
2mm_N400, 2947202416, 320160000, 2243845617, 1986884004, 256961613, 385604005, 256962402, 128641602, 128641602, 768640000, 5896812038,0,24.414062, 3.051758, 0.095367,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,28885820, 157, 16128365, 87, 28888454, 16128374, 7981586, 631, 0, 622, 2420368, 2056, 128643737, 323116, 8009929458, 320160000, 128964477, 832480004, 1765743067, 4528361091, 2473353594, 13503958, 2502239390, 29625456, 1093870789, 12, 1093871742, 94, 1093873124, 13456989, 3596108974, 29658743, 192160000, 128000000, 0, 0, 320160000, 0, 320160000,2.035921
