name, integer_ops, flops, memory_ops, loads, stores, branch_ops, uncond_branch_ops, cond_branch_ops, comparison, cpu_ops, total_ops,vector_ops,data/L1_cache, data/L2_cache, data/L3_cache,num_loops, num_vec_loops, num_par_loops, num_par_dep_loops, num_vec_dep_loops, raw_dep, war_dep, waw_dep, num_bbs, num_edges,PAPI_L1_DCM, PAPI_L1_ICM, PAPI_L2_DCM, PAPI_L2_ICM, PAPI_L1_TCM, PAPI_L2_TCM, PAPI_FPU_IDL, PAPI_TLB_DM, PAPI_TLB_IM, PAPI_TLB_TL, PAPI_STL_ICY, PAPI_HW_INT, PAPI_BR_TKN, PAPI_BR_MSP, PAPI_TOT_INS, PAPI_FP_INS, PAPI_BR_INS, PAPI_VEC_INS, PAPI_RES_STL, PAPI_TOT_CYC, PAPI_L1_DCH, PAPI_L2_DCH, PAPI_L1_DCA, PAPI_L2_DCA, PAPI_L1_ICH, PAPI_L2_ICH, PAPI_L1_ICA, PAPI_L2_ICA, PAPI_L1_ICR, PAPI_L2_TCH, PAPI_L1_TCA, PAPI_L2_TCA, PAPI_FML_INS, PAPI_FAD_INS, PAPI_FDV_INS, PAPI_FSQ_INS, PAPI_FP_OPS, PAPI_SP_OPS, PAPI_DP_OPS,Runtime
2mm_N512, 6179261456, 671350784, 4703919121, 4165473284, 538445837, 807932933, 538446850, 269486082, 269486082, 1611661312, 12362464294,0,40.000000, 5.000000, 0.156250,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,269338038, 2678, 277112279, 108, 269331012, 277306649, 8429746, 534, 0, 529, 3829630, 5103, 269491223, 530529, 11420842183, 671350784, 270016552, 1745616900, 7827366430, 11666468848, 4976418951, 255679079, 5246010222, 532741646, 1484730492, 2574, 1484732366, 2677, 1484732380, 255610468, 6730724831, 532855228, 402915328, 268435456, 0, 0, 671350784, 0, 671350784,5.188548
2mm_N600, 9943203616, 1080360000, 7568648417, 6702486004, 866162413, 1299606005, 866163602, 433442402, 433442402, 2593440000, 19891818038,0,54.931641, 6.866455, 0.214577,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,80616425, 2270, 54365263, 66, 80620601, 54365503, 11195697, 455, 0, 456, 5608338, 4345, 433446782, 725645, 16647855360, 1080360000, 434168001, 2809080004, 3849790289, 9919032598, 8362382450, 32497008, 8443022190, 86850733, 2388508305, 2197, 2388510215, 2298, 2388513539, 32367309, 10831531991, 87123837, 648360000, 432000000, 0, 0, 1080360000, 0, 1080360000,4.377365
2mm_N700, 15787804216, 1715490000, 12016769817, 10641827004, 1374942813, 2062907005, 1374944202, 687962802, 687962802, 4117960000, 31582971038,0,74.768066, 9.346008, 0.292063,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,149563300, 3859, 86189858, 86, 149558727, 86190284, 15848931, 191, 0, 191, 7572057, 7467, 687970306, 989651, 26432580291, 1715490000, 688951725, 4460470004, 7414910349, 17047255186, 13253557056, 91504052, 13403144127, 177693803, 3790067175, 3816, 3790098661, 4091, 3790073887, 91370204, 17193237925, 178497154, 1029490000, 686000000, 0, 0, 1715490000, 0, 1715490000,7.581406
2mm_N800, 23564804816, 2560640000, 17935371217, 15883528004, 2051843213, 3078408005, 2051844802, 1026563202, 1026563202, 6146560000, 47139224038,0,97.656250, 12.207031, 0.381470,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,1053993089, 191, 129344445, 80, 1053992189, 129287457, 34634913, 693, 0, 685, 9404522, 16406, 1026579650, 1298951, 64039711363, 2560640000, 1027861596, 6657920004, 15410457320, 37475316445, 18941939675, 951918294, 19995943918, 1081199364, 8728467178, 57, 8728460636, 139, 8728464425, 951730978, 28724361784, 1081603265, 1536640000, 1024000000, 0, 0, 2560640000, 0, 2560640000,15.978596
2mm_N900, 33550205416, 3645810000, 25534452617, 22613589004, 2920863613, 4382109005, 2920865402, 1461243602, 1461243602, 8751240000, 67112577038,0,123.596191, 15.449524, 0.482798,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,424138196, 10532, 183388587, 136, 424149358, 183384003, 29893679, 296, 10, 310, 12711821, 21758, 1461264506, 1642820, 56168677209, 3645810000, 1462886216, 9479430004, 26882080695, 47318547326, 28050521875, 370886811, 28474635037, 554265420, 8047336898, 10433, 8047354128, 10562, 8047343671, 370652799, 36521977148, 556976771, 2187810000, 1458000000, 0, 0, 3645810000, 0, 3645810000,21.369146
2mm_N1024, 49413101584, 5369757696, 37606144017, 33304881156, 4301262861, 6452946949, 4301264898, 2151682050, 2151682050, 12889096192, 98841950246,0,160.000000, 20.000000, 0.625000,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,2152763759, 52673, 2183379515, 14597, 2152780547, 2183930481, 58279201, 935, 10, 551, 18240781, 75492, 2151757562, 2186892, 91317433122, 5369757696, 2153857024, 13961789444, 141918700049, 172641821938, 39774111715, 2050977410, 41927097471, 4234216802, 11846216657, 38061, 11846226683, 52714, 11846290896, 2051123994, 53774028654, 4237557771, 3222274048, 2147483648, 0, 0, 5369757696, 0, 5369757696,76.069947
2mm_N1100, 61250206616, 6656210000, 46614055417, 41282791004, 5331264413, 7998111005, 5331266602, 2666844402, 2666844402, 15976840000, 122518583038,0,184.631348, 23.078918, 0.721216,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,1455291745, 23909, 334478573, 255, 1455422166, 334483838, 48449461, 841, 9, 621, 18255356, 46824, 2666891262, 2469371, 102540306841, 6656210000, 2669313478, 17306630004, 97839717380, 117528389758, 50519582159, 1446743536, 51974903752, 1781245787, 14683496588, 23661, 14683436928, 23895, 14683438410, 1446323492, 66658335295, 1788610463, 3994210000, 2662000000, 0, 0, 6656210000, 0, 6656210000,49.537967
2mm_N1200, 79516807216, 8641440000, 60514576817, 53593932004, 6920644813, 10382412005, 6920647202, 3461764802, 3461764802, 20741760000, 159055236038,0,219.726562, 27.465820, 0.858307,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,3656844173, 31691, 433322068, 1081, 3657144027, 433246187, 57351886, 273, 0, 274, 21680197, 50169, 3461815340, 2942727, 133119431934, 8641440000, 3464697369, 22468320004, 65870074473, 114339928838, 63810347831, 3346279305, 67467489879, 3779563811, 19057649151, 25334, 19057708161, 31882, 19057741376, 3346222960, 86524961497, 3801476721, 5185440000, 3456000000, 0, 0, 8641440000, 0, 8641440000,54.010103
2mm_N1300, 101095807816, 10986690000, 76935578217, 68137433004, 8798145213, 13198913005, 8798147802, 4400765202, 4400765202, 26370760000, 202216989038,0,257.873535, 32.234192, 1.007318,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,3557311158, 40982, 552686555, 943, 3558323681, 551805128, 83677495, 805, 0, 868, 26614845, 106879, 4400872117, 3517662, 169243490494, 10986690000, 4404234184, 28566070004, 120253541182, 181337647078, 82217609983, 3566985669, 85774864612, 4119520433, 24226183852, 40133, 24226772616, 54818, 24226739682, 3567446519, 110002267388, 4144037107, 6592690000, 4394000000, 0, 0, 10986690000, 0, 10986690000,79.805477
2mm_N1400, 126263208416, 13721960000, 96087059617, 85099294004, 10987765613, 16483614005, 10987768402, 5495845602, 5495845602, 32935840000, 252555842038,0,299.072266, 37.384033, 1.168251,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,4927102414, 40105, 687948736, 706, 4927058217, 687814419, 86743662, 1257, 0, 822, 29627818, 76904, 5495928998, 4009572, 211374346287, 13721960000, 5499863834, 35677880004, 140856728112, 188826165461, 102195125241, 4973260175, 107122270353, 5661065204, 30253066386, 48284, 30252823592, 46107, 30252728989, 4972704555, 137375480147, 5683833880, 8233960000, 5488000000, 0, 0, 13721960000, 0, 13721960000,79.832035
2mm_N1500, 155295009016, 16877250000, 118179021017, 104665515004, 13513506013, 20272515005, 13513509002, 6759006002, 6759006002, 40509000000, 310623795038,0,343.322754, 42.915344, 1.341105,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,5798197582, 62537, 849374618, 785, 5798131188, 849351816, 104957540, 1084, 0, 930, 35684153, 125413, 6759169843, 4667887, 259974160987, 16877250000, 6763631855, 43881750004, 182033664220, 276701818303, 125950796231, 5824764221, 131749586662, 6674116323, 37204542759, 61381, 37205006116, 62197, 37205047942, 5824714377, 168955125167, 6714549911, 10127250000, 6750000000, 0, 0, 16877250000, 0, 16877250000,125.089902
2mm_N1600, 188467209616, 20482560000, 143421462417, 127022096004, 16399366413, 24601616005, 16399369602, 8202246402, 8202246402, 49162240000, 376972848038,0,390.625000, 48.828125, 1.525879,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,8312226896, 6472, 8422957223, 3769, 8312273103, 8416698717, 212084701, 1004, 9, 662, 42304931, 204113, 8202450558, 5345176, 512158953127, 20482560000, 8207574296, 53255680004, 290008165536, 466340181774, 151520825436, 1067740678, 159833417551, 9489232069, 69716001060, 676, 69715793491, 4958, 69715949714, 1065567962, 229549703157, 9528263609, 12290560000, 8192000000, 0, 0, 20482560000, 0, 20482560000,209.160979
2mm_N1700, 226055810216, 24567890000, 172024383817, 152355037004, 19669346813, 29506917005, 19669350202, 9837566802, 9837566802, 58967560000, 452155001038,0,440.979004, 55.122375, 1.722574,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,9887593037, 125906, 1233406351, 3443, 9887939331, 1233370667, 166909730, 365, 9, 282, 46196200, 183164, 9837781007, 6054657, 378428431029, 24567890000, 9843574906, 63877670004, 294701125526, 407560546176, 181877856561, 9944039701, 191765419118, 11178629331, 54145270014, 90225, 54146363386, 124737, 54145124971, 9942207848, 245911539034, 11307905461, 14741890000, 9826000000, 0, 0, 24567890000, 0, 24567890000,193.973736
2mm_N1800, 268336810816, 29163240000, 204197785217, 180850338004, 23347447213, 35024418005, 23347450802, 11676967202, 11676967202, 69996960000, 536722254038,0,494.384766, 61.798096, 1.931190,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,11738574523, 87141, 1461152966, 2016, 11738786843, 1460450682, 165005602, 621, 1, 1065, 50242798, 166894, 11677134366, 6660231, 449206762136, 29163240000, 11683638800, 75825720004, 294627301874, 381070332036, 215887938795, 11854560879, 227626656610, 13315817383, 64266116647, 85605, 64266656139, 105280, 64266973717, 11853649919, 291893384700, 13393739446, 17499240000, 11664000000, 0, 0, 29163240000, 0, 29163240000,172.248669
2mm_N1900, 315586211416, 34298610000, 240151666617, 212693999004, 27457667613, 41190119005, 27457671402, 13732447602, 13732447602, 82322440000, 631226607038,0,550.842285, 68.855286, 2.151728,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,13802661777, 129891, 1722062689, 3821, 13802907965, 1722071630, 209498124, 1586, 10, 866, 59394591, 258237, 13732724917, 7577218, 528302126703, 34298610000, 13739923134, 89177830004, 406159810830, 570638529208, 253901136789, 13895654896, 267702408093, 15619064473, 75577721602, 126618, 75577554608, 129597, 75577658144, 13896185198, 343279019458, 15696426821, 20580610000, 13718000000, 0, 0, 34298610000, 0, 34298610000,285.544710
2mm_N2000, 368080012016, 40004000000, 280096028017, 248072020004, 32024008013, 48040020005, 32024012002, 16016008002, 16016008002, 96016000000, 736220060038,0,610.351562, 76.293945, 2.384186,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,16906906380, 145495, 2004191893, 1274, 16906056046, 2005108350, 222877391, 1910, 0, 1117, 62654743, 233581, 16016241975, 8246354, 616176273889, 40004000000, 16024294997, 104012000004, 310125181182, 532149266428, 295307397276, 15497042021, 312215051079, 17502564570, 88140973556, 143093, 88140720720, 119301, 88140279654, 15496080396, 400356353043, 17612117239, 24004000000, 16000000000, 0, 0, 40004000000, 0, 40004000000,250.606086
2mm_N2100, 426094212616, 46309410000, 324240869417, 287170401004, 37070468413, 55610121005, 37070472602, 18539648402, 18539648402, 111149640000, 852254613038,0,672.912598, 84.114075, 2.628565,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,18630067229, 228685, 2326966317, 4294, 18631257248, 2327337168, 251327530, 1026, 11, 695, 71420067, 341343, 18539996211, 9194939, 713291458190, 46309410000, 18548924965, 120406230004, 535710227994, 805266218279, 342795096557, 18771184381, 361428286870, 21098296583, 102028828179, 202048, 102029826322, 174620, 102029349864, 18770327171, 463455085969, 21278341110, 27787410000, 18522000000, 0, 0, 46309410000, 0, 46309410000,372.870949
2mm_N2200, 489904813216, 53244840000, 372796190817, 330175142004, 42621048813, 63936422005, 42621053202, 21315368802, 21315368802, 127795360000, 979882266038,0,738.525391, 92.315674, 2.884865,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,21422403465, 168719, 2666365485, 12169, 21422569425, 2667033111, 254034289, 1141, 0, 1483, 77551293, 332474, 21315681979, 10044913, 820109308412, 53244840000, 21325361380, 138438520004, 404717306669, 773903034359, 394112615821, 21640191228, 415535297583, 24307408668, 117299698895, 155941, 117299007295, 167732, 117299288774, 21640870310, 532834433442, 24466935618, 31948840000, 21296000000, 0, 0, 53244840000, 0, 53244840000,332.473853
2mm_N2300, 559787813816, 60840290000, 425971992217, 377272243004, 48699749213, 73054923005, 48699753802, 24355169202, 24355169202, 146025160000, 1119655019038,0,807.189941, 100.898743, 3.153086,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,24473579906, 232895, 3056618326, 7714, 24473820948, 3056563924, 318830764, 1070, 10, 1337, 86922454, 454293, 24355618116, 11080180, 937092245858, 60840290000, 24366224741, 158186870004, 799971365678, 1007330733371, 450333616819, 24615742630, 474806995232, 27672519491, 134025937779, 223016, 134026502009, 270155, 134028399263, 24614457115, 608839948719, 27850252642, 36506290000, 24334000000, 0, 0, 60840290000, 0, 60840290000,485.981938
2mm_N2400, 636019214416, 69125760000, 483978273617, 428647704004, 55330569613, 83001624005, 55330574402, 27671049602, 27671049602, 165911040000, 1272124872038,0,878.906250, 109.863281, 3.433228,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,28427048383, 331477, 25939397695, 22328, 28427533134, 25937173470, 391611986, 8264, 12, 6599, 96629665, 564564, 27671613517, 12150947, 1064702043306, 69125760000, 27683180036, 179729280004, 910335393228, 1376829685830, 510990666490, 4173174485, 539418204566, 30135396700, 152258397957, 311938, 152258242111, 292579, 152258249662, 4160085288, 691676042070, 30209404535, 41477760000, 27648000000, 0, 0, 69125760000, 0, 69125760000,602.216038
2mm_N1, 88, 6, 90, 63, 27, 31, 18, 12, 12, 16, 215,0,0.000153, 0.000019, 0.000001,6, 0, 0, 6, 6, 4, 4, 2, 25, 30,23, 38, 8, 34, 47, 40, 2611, 2, 0, 2, 2413, 0, 48, 39, 354, 6, 70, 20, 751, 3551, 291, 5, 284, 13, 281, 3, 305, 35, 281, 11, 607, 52, 4, 2, 0, 0, 6, 0, 6,0.000003
3mm_N1, 126, 6, 126, 90, 36, 46, 27, 18, 18, 24, 304,0,0.000214, 0.000027, 0.000001,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,22, 44, 9, 37, 53, 46, 3751, 1, 0, 1, 2670, 0, 54, 49, 412, 6, 79, 18, 597, 4322, 338, 4, 341, 12, 352, 8, 352, 43, 351, 9, 736, 73, 3, 3, 0, 0, 6, 0, 6,0.000003
3mm_N2, 708, 48, 603, 492, 111, 169, 105, 63, 63, 168, 1528,0,0.000854, 0.000107, 0.000003,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,24, 37, 11, 34, 50, 47, 3136, 1, 0, 1, 3172, 0, 99, 48, 1507, 48, 136, 144, 1252, 4300, 930, 5, 920, 17, 614, 3, 585, 38, 590, 10, 1523, 55, 24, 24, 0, 0, 48, 0, 48,0.000003
3mm_N4, 4950, 384, 3897, 3330, 567, 883, 567, 315, 315, 1248, 10114,0,0.003418, 0.000427, 0.000013,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,36, 38, 15, 36, 56, 51, 3996, 1, 0, 1, 2893, 0, 351, 59, 9301, 384, 430, 1152, 2952, 9963, 4631, 17, 4614, 30, 1771, 7, 1789, 41, 1948, 8, 6445, 99, 192, 192, 0, 0, 384, 0, 384,0.000005
3mm_N8, 37338, 3072, 28413, 24702, 3711, 5695, 3723, 1971, 1971, 9600, 74518,0,0.013672, 0.001709, 0.000053,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,37, 32, 19, 29, 54, 49, 3843, 2, 0, 2, 2771, 0, 2007, 86, 68593, 3072, 2242, 9216, 12529, 39214, 32042, 58, 32026, 76, 10072, 3, 10023, 34, 9986, 13, 42204, 127, 1536, 1536, 0, 0, 3072, 0, 3072,0.000022
3mm_N16, 290466, 24576, 217701, 190710, 26991, 40951, 27027, 13923, 13923, 75264, 573694,0,0.054688, 0.006836, 0.000214,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,119, 41, 89, 37, 131, 126, 16782, 4, 0, 4, 8747, 1, 13959, 858, 531338, 24576, 14794, 73728, 86970, 285739, 251999, 289, 252097, 370, 78893, 3, 78864, 40, 78866, 144, 330999, 449, 12288, 12288, 0, 0, 24576, 0, 24576,0.000123
3mm_N32, 2292018, 196608, 1705653, 1499622, 206031, 310759, 206115, 104643, 104643, 595968, 4505038,0,0.218750, 0.027344, 0.000854,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,603, 51, 311, 38, 372, 346, 54377, 15, 0, 15, 26986, 1, 104680, 3217, 4188218, 196608, 107867, 589824, 659303, 2130784, 1940178, 937, 1940514, 1055, 575186, 18, 575096, 47, 575110, 207, 2515713, 1492, 98304, 98304, 0, 0, 196608, 0, 196608,0.000924
3mm_N64, 18211410, 1572864, 13505877, 11895750, 1610127, 2421703, 1610307, 811395, 811395, 4743168, 35711854,0,0.875000, 0.109375, 0.003418,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,3936, 52, 1345, 39, 2575, 1366, 203082, 57, 0, 57, 98066, 9, 811438, 12528, 33265569, 1572864, 823938, 4718592, 5179359, 16547436, 15228013, 9465, 15230529, 10769, 4393781, 15, 4393806, 54, 4393858, 6721, 19624468, 11129, 786432, 786432, 0, 0, 1572864, 0, 1572864,0.007152
3mm_N128, 145196178, 12582912, 107498133, 94766982, 12731151, 19122055, 12731523, 6390531, 6390531, 37847040, 284399278,0,3.500000, 0.437500, 0.013672,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,6366758, 102, 10392, 65, 6366579, 10426, 764953, 232, 0, 231, 354043, 68, 6390635, 49666, 265178798, 12582912, 6440191, 37748736, 64006081, 153421067, 114277355, 7252599, 120643854, 7262929, 34338609, 51, 34338633, 110, 34338610, 7245778, 154982286, 7292499, 6291456, 6291456, 0, 0, 12582912, 0, 12582912,0.068593
3mm_N256, 1159596306, 100663296, 857806101, 756551430, 101254671, 151981831, 101255427, 50726403, 50726403, 302383104, 2270047534,0,14.000000, 1.750000, 0.054688,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,50623615, 538, 10192931, 75, 50617392, 10186688, 3198449, 1063, 0, 1084, 1412145, 671, 50727109, 198130, 2117672568, 100663296, 50924504, 301989888, 820903545, 1530308473, 909658808, 60741331, 960272240, 70935614, 271461449, 475, 271462574, 528, 271462590, 60690955, 1231732154, 71329874, 50331648, 50331648, 0, 0, 100663296, 0, 100663296,0.681895
3mm_N300, 1865702718, 162000000, 1379976321, 1217164506, 162811815, 244354507, 162812703, 81541803, 81541803, 486540000, 3652033546,0,19.226074, 2.403259, 0.075102,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,10571486, 683, 9021303, 64, 10565943, 9021355, 4510274, 12225, 0, 7634, 1975336, 901, 81542741, 271909, 3082869218, 162000000, 81813659, 486000000, 888545769, 2057431451, 1534986662, 1929701, 1545552541, 10949954, 436671593, 611, 436672782, 680, 436643568, 1642953, 1981996904, 11059115, 81000000, 81000000, 0, 0, 162000000, 0, 162000000,0.920156
3mm_N400, 4420803618, 384000000, 3269288421, 2883846006, 385442415, 578406007, 385443603, 192962403, 192962403, 1152960000, 8652498046,0,34.179688, 4.272461, 0.133514,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,43044338, 112, 24167946, 87, 43030110, 24168491, 15090480, 33995, 0, 45703, 3629310, 3141, 192965536, 484434, 11915534116, 384000000, 193446755, 1152000000, 2892512361, 7070529636, 3613080324, 19831328, 3655936488, 43904167, 1544021270, 17, 1544021599, 88, 1544023237, 19709785, 5200021589, 43951842, 192000000, 192000000, 0, 0, 384000000, 0, 384000000,3.070438
3mm_N512, 9268892178, 805306368, 6853765653, 6046096902, 807668751, 1211899399, 807670275, 404229123, 404229123, 2417491968, 18139863598,0,56.000000, 7.000000, 0.218750,9, 0, 0, 9, 9, 6, 6, 3, 37, 45,403886025, 5189, 419889802, 100, 403888926, 420030409, 14662449, 574, 0, 590, 5750130, 7552, 404236713, 795669, 16926397530, 805306368, 405024698, 2415919104, 11603271760, 17259415417, 7261719811, 381712801, 7665620174, 801706810, 2159421199, 5051, 2159425522, 5162, 2159429449, 381644570, 9825115898, 801880159, 402653184, 402653184, 0, 0, 805306368, 0, 805306368,7.646827
