name,estimated_data_size (eds in bytes),eds/L1_cache,eds/L2_cache,eds/L3_cache,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_TLB_DM,PAPI_BR_TKN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_TCA,Runtime (secs)
2mm_N64,163840,5.000000,0.625000,0.008681,123116,681,120815,592,43,541147,8406,120750,135435,0.005025
2mm_N128,655360,20.000000,2.500000,0.034722,4158978,22880,4158269,23183,167,4261172,33247,4158565,6032095,0.040124
2mm_N256,2621440,80.000000,10.000000,0.138889,33514594,33509944,33539304,33521533,1924,33821666,133152,33495761,33566416,0.411492
2mm_N300,3600000,109.863281,13.732910,0.190735,10142898,7057444,10178383,7062000,1515,54371524,186112,10130091,10183575,0.516608
2mm_N400,6400000,195.312500,24.414062,0.339084,135814858,16064030,135769873,16069447,6137,128652322,327003,135801997,136001239,1.429231
2mm_N512,10485760,320.000000,40.000000,0.555556,269533551,268999285,269514730,268959150,1153,269510435,538428,269224014,269250817,3.494367
2mm_N600,14400000,439.453125,54.931641,0.762939,604203371,64934821,604174838,68075648,145528985,433505021,737351,723751854,729858784,4.589732
2mm_N700,19600000,598.144531,74.768066,1.038445,838928970,94651809,838983305,94673598,102459,688049864,1008183,897705637,898124814,6.996209
2mm_N800,25600000,781.250000,97.656250,1.356337,1077245772,167531039,1057586206,129814657,6975,1026600232,1325711,1057473903,1061822244,11.931159
2mm_N900,32400000,988.769531,123.596191,1.716614,1664491993,182590839,1638787697,182601663,7536,1461365609,1674649,1639343303,1640454476,14.743473
2mm_N1024,41943040,1280.000000,160.000000,2.222222,2154830526,2149309876,2154804225,2149321848,13439,2151824259,2189023,2154771302,2155064413,26.344032
2mm_N1100,48400000,1477.050781,184.631348,2.564324,2994450553,333855678,2992341901,333450812,7575,2667081840,2510563,2992902469,2994487483,27.676063
2mm_N1200,57600000,1757.812500,219.726562,3.051758,3686175610,434689216,3685878417,434726862,43359,3462346252,3006476,3686033166,3698909236,37.027587
2mm_N1300,67600000,2062.988281,257.873535,3.581577,4938200398,550502038,4938356978,550571592,56711,4401248169,3593615,4938075008,4943491868,52.017296
2mm_N1400,78400000,2392.578125,299.072266,4.153781,6170729834,687459801,6170276060,687542205,113433,5496604586,4214727,6169245358,6176938439,70.228414
2mm_N1500,90000000,2746.582031,343.322754,4.768372,7591711131,888343501,7590904579,888481962,183611,6760750994,5048947,7590314444,7602225600,102.900569
2mm_N1600,102400000,3125.000000,390.625000,5.425347,8331191567,8318757424,8332072437,8319132249,271111,8203231332,5821702,8331305860,8332627105,169.636916
2mm_N1700,115600000,3527.832031,440.979004,6.124708,11049887128,1235180310,11050678823,1235284209,263607,9840104195,6790678,11051141503,11069984519,177.787966
2mm_N1800,129600000,3955.078125,494.384766,6.866455,13117820274,1465664228,13118188655,1465460362,564621,11680252937,7638173,13117011470,13168153888,183.160162
2mm_N1900,144400000,4406.738281,550.842285,7.650587,15431804450,1742432217,15432349402,1742664178,604053,13736240918,8737277,15431295384,15472268001,255.159565
2mm_N2000,160000000,4882.812500,610.351562,8.477105,17100346561,8086845145,17099985035,8086893936,1277576,16021615307,9688627,17099113202,17985211623,271.175054
2mm_N2100,176400000,5383.300781,672.912598,9.346008,20843881039,2505244914,20844369442,2507921811,12163672,18545218274,10932467,20841652238,20894972126,354.891299
2mm_N2200,193600000,5908.203125,738.525391,10.257297,23967261399,2700469042,23965829212,2700725684,18902995,21321202851,11790997,23964388153,24117053717,340.138778
