name,estimated_data_size (eds in bytes),eds/L1_cache,eds/L2_cache,eds/L3_cache,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_TLB_DM,PAPI_BR_TKN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_TCA,Runtime (secs)
2mm_N64,163840,5.000000,0.625000,0.006250,115343,450,33945,533,21,532621,8340,34050,34004,0.003191
2mm_N128,655360,20.000000,2.500000,0.025000,4164735,3614,1718249,3494,80,4227341,33096,1716095,1720084,0.023257
2mm_N256,2621440,80.000000,10.000000,0.100000,33744148,33634693,33602760,33635421,342,33686029,131773,33600246,33607367,0.274376
2mm_N300,3600000,109.863281,13.732910,0.137329,9340420,6919217,8882228,6919207,638,54180613,180664,8871677,8886974,0.260245
2mm_N400,6400000,195.312500,24.414062,0.244141,135918520,16160915,128136924,21955418,1341,128320813,321222,128138577,128095102,0.866642
2mm_N512,10485760,320.000000,40.000000,0.400000,269468623,268938583,268964203,268941001,11379,268960781,525655,268957594,268963948,1.986512
2mm_N600,14400000,439.453125,54.931641,0.549316,557229776,65120254,433902614,65125865,18339,432721213,721348,434112137,434128250,1.954204
2mm_N700,19600000,598.144531,74.768066,0.747681,800908742,90528773,689827117,90522549,63266,686981413,981421,689797489,689789768,3.168878
2mm_N800,25600000,781.250000,97.656250,0.976562,1057912400,129233873,1024810431,129042192,3549,1025281613,1282411,1024824537,1024865149,6.792177
2mm_N900,32400000,988.769531,123.596191,1.235962,1639957537,183052639,1467018817,182870062,2082,1459621813,1621816,1466099194,1466137097,6.408788
2mm_N1024,41943040,1280.000000,160.000000,1.600000,2157903122,2135671192,2153903877,2139089616,1918,2149582861,2099540,2153034712,2153032851,13.763509
2mm_N1100,48400000,1477.050781,184.631348,1.846313,2997684737,333293502,2678528886,333281429,1207,2664422213,2422857,2678689356,2678651647,11.435143
2mm_N1200,57600000,1757.812500,219.726562,2.197266,3688336404,433567604,3466780967,433260300,1546,3458882413,2883146,3466744933,3466786333,14.067045
2mm_N1300,67600000,2062.988281,257.873535,2.578735,4941579255,550316393,4418862869,550048503,4195,4397382613,3382701,4419087283,4417695040,18.768135
2mm_N1400,78400000,2392.578125,299.072266,2.990723,6179260789,687638391,5523373585,687251453,3891,5491922813,3922971,5521019735,5521127075,21.844843
2mm_N1500,90000000,2746.582031,343.322754,3.433228,7597039949,881298105,6786558806,886224276,8598,6754503013,4503096,6787852908,6786947328,29.031765
2mm_N1600,102400000,3125.000000,390.625000,3.906250,8333789683,8320918044,8198106794,8320982734,12797,8197123213,5123555,8198079812,8198126626,77.212144
2mm_N1700,115600000,3527.832031,440.979004,4.409790,11061129090,1234891421,9879445176,1231430487,8130,9831783413,5783953,9879586795,9879065105,48.438322
2mm_N1800,129600000,3955.078125,494.384766,4.943848,13132972762,1463851899,11730002172,1463879538,14701,11670483613,6483675,11729876983,11730137577,59.410904
