name,estimated_data_size (eds in bytes),eds/L1_cache,eds/L2_cache,eds/L3_cache,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_TLB_DM,PAPI_BR_TKN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_TCA,Runtime (secs)
2mm_N64,163840,5.000000,0.625000,0.003472,115812,376,31969,533,21,532621,8364,33081,33160,0.002310
2mm_N128,655360,20.000000,2.500000,0.013889,4167915,1691,1834851,1804,81,4227341,33110,1834203,1833657,0.020939
2mm_N256,2621440,80.000000,10.000000,0.055556,33764953,31766151,33619619,31765391,387,33686029,131652,33626365,33621348,0.246608
2mm_N300,3600000,109.863281,13.732910,0.076294,8916918,6896548,8442292,6896275,439,54180613,180820,8489709,8347492,0.271163
2mm_N400,6400000,195.312500,24.414062,0.135634,136022782,16056772,128414128,16065980,4394,128320813,320828,128421771,128425768,0.838075
2mm_N512,10485760,320.000000,40.000000,0.222222,269914343,269010528,269330763,268985523,7451,268960781,525423,269251363,269318407,2.234583
2mm_N600,14400000,439.453125,54.931641,0.305176,559853559,64943888,434195873,64946062,6214,432721213,721228,434450288,434435108,2.013987
2mm_N700,19600000,598.144531,74.768066,0.415378,804232361,90357433,690327792,90359502,37280,686981413,981414,690387864,690387933,3.266823
2mm_N800,25600000,781.250000,97.656250,0.542535,1057878651,256240467,1024863966,129246079,11,1025281613,1282470,1024855451,1024872350,7.266354
2mm_N900,32400000,988.769531,123.596191,0.686646,1638588044,182915676,1466282223,182845125,7314,1459621813,1622382,1465942088,1466008116,6.911553
2mm_N1024,41943040,1280.000000,160.000000,0.888889,2159186500,2152311927,2155256722,2151081824,3621,2149582861,2099323,2155047411,2155052234,16.141754
2mm_N1100,48400000,1477.050781,184.631348,1.025730,2997874862,333624493,2678267176,333266809,276,2664422213,2422804,2678446777,2678300110,12.488592
2mm_N1200,57600000,1757.812500,219.726562,1.220703,3687885362,433333631,3466274401,433311758,1465,3458882413,2882514,3466146342,3466401992,15.267489
2mm_N1300,67600000,2062.988281,257.873535,1.432631,4947677216,552477220,4417248737,550955381,3430,4397382613,3382761,4416212315,4415019341,20.471508
2mm_N1400,78400000,2392.578125,299.072266,1.661513,6175688377,687301891,5520065076,687256410,3271,5491922813,3923799,5519279989,5520830880,23.485525
2mm_N1500,90000000,2746.582031,343.322754,1.907349,7597542421,886032210,6785222133,886233280,103,6754503013,4503120,6786419910,6784740852,31.352300
2mm_N1600,102400000,3125.000000,390.625000,2.170139,8334541453,8321403289,8197405611,8321552642,2409,8197123213,5124976,8197370109,8197457190,77.140686
2mm_N1700,115600000,3527.832031,440.979004,2.449883,11057398769,1237356201,9875965052,1231459114,1476,9831783413,5783870,9876920070,9877889089,45.364993
2mm_N1800,129600000,3955.078125,494.384766,2.746582,13133142830,1465320974,11729207887,1463678126,1113,11670483613,6484063,11728680420,11729456503,49.436089
2mm_N1900,144400000,4406.738281,550.842285,3.060235,15441843937,1732899641,13793784590,1732832770,3093,13725223813,7224240,13792303652,13791391008,62.545041
