name,estimated_data_size (eds in bytes),eds/L1_cache,eds/L2_cache,eds/L3_cache,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_TLB_DM,PAPI_BR_TKN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_TCA,Runtime (secs)
2mm_N64,163840,5.000000,0.625000,0.007812,131844,510,128645,460,43,540974,7266,128335,129249,0.002664
2mm_N128,655360,20.000000,2.500000,0.031250,4161388,4067,4161138,3221,166,4260418,33577,4162087,4162117,0.022833
2mm_N256,2621440,80.000000,10.000000,0.125000,33697349,33602303,33699671,33603598,806,33817917,132034,33704223,33704377,0.265213
2mm_N300,3600000,109.863281,13.732910,0.171661,9885505,7148638,9825939,7151123,1151,54361534,181054,9769031,9741357,0.285240
2mm_N400,6400000,195.312500,24.414062,0.305176,136011984,15997564,136005912,16000094,5515,128642779,321115,212737463,212745011,1.117921
2mm_N512,10485760,320.000000,40.000000,0.500000,270129068,269068008,270163968,269073003,2552570,269488853,525744,270163883,270150123,2.225561
2mm_N600,14400000,439.453125,54.931641,0.686646,600034883,65459569,600038588,65457747,145157086,433446116,721714,600041712,599981829,2.794246
2mm_N700,19600000,598.144531,74.768066,0.934601,834951158,95956219,834966351,95931393,490014,687966778,982085,863025624,890289386,3.950579
2mm_N800,25600000,781.250000,97.656250,1.220703,1068669163,129465945,1058058650,129392531,2632,1026572884,1282278,1057993266,1058056258,9.074004
2mm_N900,32400000,988.769531,123.596191,1.544952,1683095053,183070867,1645122018,182672448,3947,1461251589,1622788,1640623182,1640627024,7.779474
2mm_N1024,41943040,1280.000000,160.000000,2.000000,2159190969,2150501647,2158571684,2149602981,4792,2151699276,2100321,2156853255,2156574049,16.405257
2mm_N1100,48400000,1477.050781,184.631348,2.307892,2996795100,334707694,2996770709,334696228,37672,2666860670,2426492,2996573469,2996596302,14.081167
2mm_N1200,57600000,1757.812500,219.726562,2.746582,3691227835,449198140,3691908394,436330170,8100,3461783021,2887866,3688651962,3688750340,17.578431
2mm_N1300,67600000,2062.988281,257.873535,3.223419,4944392319,550210341,4943233865,550164017,5220,4400789995,3384527,4943241304,4943260934,23.235689
2mm_N1400,78400000,2392.578125,299.072266,3.738403,6178210897,687378695,6176273456,687223499,4999,5495874284,3924798,6176168957,6175929261,27.781868
2mm_N1500,90000000,2746.582031,343.322754,4.291534,7597678677,886037921,7597449518,885936194,16454,6759042965,4504547,7597367634,7597473978,36.050539
2mm_N1600,102400000,3125.000000,390.625000,4.882812,8332963123,8320101883,8331327815,8320142342,47246,8202343356,5124981,8331284204,8331357601,94.492951
2mm_N1700,115600000,3527.832031,440.979004,5.512238,11057344592,1231738107,11057180268,1231733990,89854,9837652766,5785947,11057149877,11057139525,84.193660
2mm_N1800,129600000,3955.078125,494.384766,6.179810,13130985910,1461704896,13129838338,1462872130,152312,11677051508,6485931,13129817644,13129875875,83.653194
2mm_N1900,144400000,4406.738281,550.842285,6.885529,15441997126,1733816232,15441926869,1733832876,205737,13732577218,7228710,15441844687,15441911505,128.166318
2mm_N2000,160000000,4882.812500,610.351562,7.629395,17103076898,8244050367,17103470982,8244184842,1397930,16016144964,8006813,17103041981,17109676976,135.431049
2mm_N2100,176400000,5383.300781,672.912598,8.411407,20853903223,2475423742,20853477587,2475113384,8663932,18539826861,8827986,20853797637,20853895205,175.827589
2mm_N2200,193600000,5908.203125,738.525391,9.231567,23971569155,2682386625,23972616531,2682446797,31582943,21315524371,9689361,23972511212,23972739959,152.158614
2mm_N2300,211600000,6457.519531,807.189941,10.089874,27403804179,3159954298,27402612403,3160358200,26336641,24355396400,10594900,27402540980,27402651999,230.271431
2mm_N2400,230400000,7031.250000,878.906250,10.986328,28666769240,28521666302,28666910275,28522052497,45774585,27671305713,11529183,28666705604,28666521902,249.875187
3mm_N64,229376,7.000000,0.875000,0.010937,200045,675,193121,738,58,811440,10961,192449,192218,0.003907
3mm_N128,917504,28.000000,3.500000,0.043750,6248307,18796,6246953,18656,250,6390608,50444,6246972,6246918,0.034260
3mm_N256,3670016,112.000000,14.000000,0.175000,50556350,50418393,50577405,50421119,3242,50727208,198015,50575040,50575377,0.395100
3mm_N300,5040000,153.808594,19.226074,0.240326,14849638,10735521,14732698,10734678,1618,81542292,271426,14647911,36361863,0.427035
3mm_N400,8960000,273.437500,34.179688,0.427246,204000806,23942906,203931279,23944581,25126,192964768,481911,203986090,203863625,1.688317
3mm_N512,14680064,448.000000,56.000000,0.700000,405907063,403691804,405980432,403690682,3790180,404233842,788602,405975761,405960943,3.325487
3mm_N600,20160000,615.234375,76.904297,0.961304,928264906,103438294,928235429,103428747,146822346,650167667,1082540,978433821,978380789,3.937651
3mm_N700,27440000,837.402344,104.675293,1.308441,1258911760,143978129,1259153333,143933582,718674,1031953283,1472562,1259078609,1259006016,6.072208
3mm_N800,35840000,1093.750000,136.718750,1.708984,1613062719,295982734,1587034483,193586001,3413,1539858679,1923500,1586850521,1586848677,13.367420
3mm_N900,45360000,1384.277344,173.034668,2.162933,2472198132,274531897,2460095430,274016806,1455,2191878102,2433624,2459991283,2459969441,11.887188
3mm_N1024,58720256,1792.000000,224.000000,2.800000,3238711121,3224595811,3238415135,3224593586,423584,3227549004,3150938,3238027802,3238043669,24.365587
3mm_N1100,67760000,2067.871094,258.483887,3.231049,4491060492,500148141,4490949113,499945672,7236,4000288984,3634376,4491043283,4491075538,21.125155
3mm_N1200,80640000,2460.937500,307.617188,3.845215,5533805430,654655579,5531030124,650191615,11588,5192674060,4325615,5530877574,5530662836,26.374604
3mm_N1300,94640000,2888.183594,361.022949,4.512787,7422400473,826382049,7419493492,825282191,1964,6601184566,5076314,7419911104,7419712351,34.647739
3mm_N1400,109760000,3349.609375,418.701172,5.233765,9267367001,1031279366,9266024697,1031109625,14572,8243811655,5886322,9265772746,9265744217,41.469877
3mm_N1500,126000000,3845.214844,480.651855,6.008148,11397291895,1326227377,11393088354,1328667763,38718,10138564542,6756735,11392819145,11392852009,53.976959
3mm_N1600,143360000,4375.000000,546.875000,6.835938,12499209692,12479484095,12495749710,12479484360,104397,12303516339,7690097,12495712597,12495765116,141.596909
3mm_N1700,161840000,4938.964844,617.370605,7.717133,16580360228,1847140728,16579921786,1847150923,123459,14756479400,8679173,16579999649,16580000120,125.604538
3mm_N1800,181440000,5537.109375,692.138672,8.651733,19694915948,2192047341,19689567683,2192068507,182976,17515575206,9738617,19689500547,19689569887,123.003873
3mm_N1900,202160000,6169.433594,771.179199,9.639740,23153734950,2601228991,23153617842,2601344126,349366,20598863853,10841690,23153533554,23153649683,188.326056
3mm_N2000,224000000,6835.937500,854.492188,10.681152,25647737944,12328792210,25645980484,12329653152,545265,24024224300,12011953,25645896199,25645963492,202.262061
3mm_N2100,246960000,7536.621094,942.077637,11.775970,31271034350,3704093177,31267343600,3704033773,6895038,27809736368,13246236,31267268203,31267423336,260.082082
3mm_N2200,271040000,8271.484375,1033.935547,12.924194,35959392711,4024910803,35959240494,4025024367,34096128,31973286740,14531675,35960622506,35960612914,226.679312
3mm_N2300,296240000,9040.527344,1130.065918,14.125824,41090986765,4733570180,41092522265,4733468627,48143516,36533099953,15881186,41091982874,41092444379,358.017661
3mm_N2400,322560000,9843.750000,1230.468750,15.380859,42989592762,42785020350,42990497924,42785263159,67236495,41506953982,17295872,42989770606,42990303460,378.372647
adi_N1_128,393216,12.000000,1.500000,0.018750,25310,3424,25227,3684,100,66092,536,25025,25255,0.000912
adi_N1_256,1572864,48.000000,6.000000,0.075000,101387,14010,101220,13904,417,263215,947,101460,101556,0.003601
adi_N1_300,2160000,65.917969,8.239746,0.102997,143827,14414,143497,14735,1056,361248,1227,143842,143432,0.004661
adi_N1_400,3840000,117.187500,14.648438,0.183105,245128,23245,245458,23129,3935,641656,1628,245247,246065,0.013004
adi_N1_512,6291456,192.000000,24.000000,0.300000,418719,28334,418447,27811,6737,1050682,2077,420116,418323,0.014710
adi_N1_600,8640000,263.671875,32.958984,0.411987,589880,54008,589527,54145,7277,1442461,2426,589619,589577,0.018662
adi_N1_700,11760000,358.886719,44.860840,0.560760,820708,66027,819378,65711,5565,1962867,2828,819432,820295,0.025765
adi_N1_800,15360000,468.750000,58.593750,0.732422,1027019,71378,1026320,71654,4382,2563294,3231,1026445,1026687,0.053411
adi_N1_900,19440000,593.261719,74.157715,0.926971,1390457,114355,1392678,112318,6990,3243684,3637,1391625,1391175,0.043185
adi_N1_1024,25165824,768.000000,96.000000,1.200000,1788488,295288,1784808,283112,756,4198502,4121,1783229,1787572,0.061138
adi_N2_128,393216,12.000000,1.500000,0.018750,49866,6400,49805,6579,102,132142,1055,49676,49823,0.001867
adi_N2_256,1572864,48.000000,6.000000,0.075000,203117,26465,202518,26124,410,526387,2083,202331,202158,0.007353
adi_N2_300,2160000,65.917969,8.239746,0.102997,285755,29294,285351,29294,1530,722453,2438,285432,284387,0.009563
adi_N2_400,3840000,117.187500,14.648438,0.183105,491068,45966,490901,45834,7364,1283270,3251,490672,491199,0.026679
adi_N2_512,6291456,192.000000,24.000000,0.300000,836744,52048,838560,52499,13017,2101320,2973,836243,837756,0.030213
adi_N2_600,8640000,263.671875,32.958984,0.411987,1177550,111838,1177189,111029,13938,2884881,4835,1177734,1176923,0.038332
adi_N2_700,11760000,358.886719,44.860840,0.560760,1638317,130128,1639369,130736,10633,3925694,5641,1638268,1641283,0.052009
adi_N2_800,15360000,468.750000,58.593750,0.732422,2059270,150277,2059671,150571,14185,5126547,6434,2059049,2059487,0.106228
adi_N2_900,19440000,593.261719,74.157715,0.926971,2789348,223095,2789336,219169,13422,6487325,7230,2791836,2792516,0.084055
adi_N2_1024,25165824,768.000000,96.000000,1.200000,3589179,384119,3587800,381177,12515,8396960,8231,3588464,3582909,0.118391
adi_N4_64,98304,3.000000,0.375000,0.004687,22327,421,22271,448,26,66606,513,22155,22329,0.000865
adi_N4_128,393216,12.000000,1.500000,0.018750,98875,11458,99074,11308,100,264241,2090,98861,98678,0.003717
adi_N4_256,1572864,48.000000,6.000000,0.075000,404661,51669,404259,52285,508,1052732,4136,403402,404093,0.014683
adi_N4_300,2160000,65.917969,8.239746,0.102997,573215,57434,573055,57202,2506,1444865,4845,573706,572428,0.019185
adi_N4_400,3840000,117.187500,14.648438,0.183105,981556,95341,980257,96205,799,2566498,6445,980674,981245,0.051794
adi_N4_512,6291456,192.000000,24.000000,0.300000,1675870,109549,1672954,109870,25419,4202599,5323,1678326,1677322,0.058640
adi_N4_600,8640000,263.671875,32.958984,0.411987,2360471,200845,2360694,200349,25839,5769718,9643,2360125,2358567,0.074300
adi_N4_700,11760000,358.886719,44.860840,0.560760,3277310,257597,3274487,258504,20675,7851344,11236,3274426,3276324,0.104225
adi_N4_800,15360000,468.750000,58.593750,0.732422,4113484,296882,4115066,297582,27923,10253052,12853,4113673,4117370,0.207055
adi_N4_900,19440000,593.261719,74.157715,0.926971,5557876,414551,5558946,411583,16231,12974610,14455,5563843,5557862,0.166984
adi_N4_1024,25165824,768.000000,96.000000,1.200000,7200467,725408,7206786,718201,24372,16793876,16492,7214050,7206136,0.236623
adi_N8_64,98304,3.000000,0.375000,0.004687,44064,350,44017,397,26,133172,945,43943,44039,0.001729
adi_N8_128,393216,12.000000,1.500000,0.018750,197323,24257,197281,23957,104,528440,3918,197218,197283,0.007430
adi_N8_256,1572864,48.000000,6.000000,0.075000,808719,105446,808338,104864,441,2105422,8247,809038,808952,0.029433
adi_N8_300,2160000,65.917969,8.239746,0.102997,1143273,111835,1144670,113275,4963,2889686,9663,1141756,1144318,0.038161
adi_N8_400,3840000,117.187500,14.648438,0.183105,1964636,183045,1963818,182871,27919,5132952,12902,1963782,1964093,0.106642
adi_N8_512,6291456,192.000000,24.000000,0.300000,3346813,230173,3345123,229705,50339,8405157,16444,3347092,3347009,0.122673
adi_N8_600,8640000,263.671875,32.958984,0.411987,4719157,445140,4718002,447636,50752,11539396,19269,4721079,4718299,0.148171
adi_N8_700,11760000,358.886719,44.860840,0.560760,6563901,500360,6555315,499617,23387,15702647,22491,6549238,6545181,0.201534
adi_N8_800,15360000,468.750000,58.593750,0.732422,8235030,561858,8238724,560300,36446,20506060,25659,8234791,8234560,0.416515
adi_N8_900,19440000,593.261719,74.157715,0.926971,11155510,809419,11158703,806513,31841,25950361,28884,11154085,11144674,0.343651
adi_N8_1024,25165824,768.000000,96.000000,1.200000,14381106,1443062,14378169,1442685,57778,33587712,32853,14388488,14389930,0.473906
adi_N16_32,24576,0.750000,0.093750,0.001172,943,83,912,126,8,67643,636,692,934,0.000841
adi_N16_64,98304,3.000000,0.375000,0.004687,87588,328,87279,393,26,266301,2089,87228,87383,0.003346
adi_N16_128,393216,12.000000,1.500000,0.018750,394846,48079,394464,47508,102,1056840,8374,394168,394492,0.014726
adi_N16_256,1572864,48.000000,6.000000,0.075000,1617342,211357,1616737,212344,637,4210801,16501,1613813,1613767,0.058608
adi_N16_300,2160000,65.917969,8.239746,0.102997,2282280,225564,2282876,224856,9254,5779330,19302,2231651,2222491,0.076250
adi_N16_400,3840000,117.187500,14.648438,0.183105,3918479,365705,3919162,365009,55573,10265860,25723,3924814,3925048,0.213263
adi_N16_512,6291456,192.000000,24.000000,0.300000,6707637,440148,6702218,442492,100486,16810256,32999,6657098,6657465,0.241382
adi_N16_600,8640000,263.671875,32.958984,0.411987,9427261,732867,9421981,730912,71,23078726,38541,9301104,9301802,0.305653
adi_N16_700,11760000,358.886719,44.860840,0.560760,13127496,1039362,13127625,1039921,87786,31405220,44915,12754634,12760843,0.410603
adi_N16_800,15360000,468.750000,58.593750,0.732422,16416411,1096454,16429979,1100461,110711,41012043,51325,16534959,16538739,0.829925
adi_N16_900,19440000,593.261719,74.157715,0.926971,22263617,1745660,22266370,1740229,103459,51899936,57709,21787385,21782180,0.685731
adi_N16_1024,25165824,768.000000,96.000000,1.200000,28845823,2817539,28858960,2820059,105270,67175255,65699,28369476,28369186,0.948810
adi_N32_32,24576,0.750000,0.093750,0.001172,943,80,1020,130,8,135244,995,649,888,0.001638
adi_N32_64,98304,3.000000,0.375000,0.004687,174437,369,174311,455,26,532560,5323,174278,174301,0.006671
adi_N32_128,393216,12.000000,1.500000,0.018750,787591,89292,787883,88685,105,2113634,16794,785829,785553,0.029014
adi_N32_256,1572864,48.000000,6.000000,0.075000,3232998,420216,3233871,413631,790,8421544,33233,3220213,3221021,0.114088
adi_N32_300,2160000,65.917969,8.239746,0.102997,4584459,452456,4570949,452971,19347,11558598,38609,4443365,4444126,0.148152
adi_N32_400,3840000,117.187500,14.648438,0.183105,7833168,720306,7836130,718703,114035,20531657,51453,7855448,7858090,0.423150
adi_N32_512,6291456,192.000000,24.000000,0.300000,13386580,922299,13370215,884902,206725,33620422,65752,13301055,13312294,0.479046
adi_N32_600,8640000,263.671875,32.958984,0.411987,18856847,1825309,18781034,1834494,200470,46157369,76971,18611503,18602659,0.597695
adi_N32_700,11760000,358.886719,44.860840,0.560760,26225457,2057260,26012872,2049951,163247,62811702,89789,25549942,25561506,0.828189
adi_N32_800,15360000,468.750000,58.593750,0.732422,32822664,2248032,32907243,2254315,125398,82025220,102563,33048708,33045562,1.677577
adi_N32_900,19440000,593.261719,74.157715,0.926971,44645575,3477087,44252879,3514228,215806,103796391,115361,43658288,43655637,1.354653
adi_N32_1024,25165824,768.000000,96.000000,1.200000,57519780,5599591,57276884,5769997,191763,134351966,131265,56870045,56832995,1.906507
adi_N64_16,6144,0.187500,0.023438,0.000293,190,38,163,95,3,69739,1355,111,220,0.000829
adi_N64_32,24576,0.750000,0.093750,0.001172,1532,87,1230,126,8,270444,3713,1029,980,0.003356
adi_N64_64,98304,3.000000,0.375000,0.004687,348196,378,347907,383,28,1065077,10614,348065,348031,0.013777
adi_N64_128,393216,12.000000,1.500000,0.018750,1574658,186326,1572157,184442,100,4227225,33466,1570609,1570940,0.059422
adi_N64_256,1572864,48.000000,6.000000,0.075000,6462674,831928,6436844,813859,1185,16843046,65931,6437617,6438924,0.235419
adi_N64_300,2160000,65.917969,8.239746,0.102997,9119516,901220,8873504,898833,35475,23117154,77181,8873006,8871990,0.306374
adi_N64_400,3840000,117.187500,14.648438,0.183105,15702742,1438149,15688699,1432770,224779,41063271,102768,15687094,15688948,0.827002
adi_N64_512,6291456,192.000000,24.000000,0.300000,26855200,1823037,26638345,1782248,406858,67240800,132507,26656984,26638631,0.947458
adi_N64_600,8640000,263.671875,32.958984,0.411987,37698002,3642727,37224909,3693441,400243,92316310,153919,37220459,37221786,1.202007
adi_N64_700,11760000,358.886719,44.860840,0.560760,52440327,4216996,51051391,4242786,329913,125620651,179529,51035822,51045073,1.633741
adi_N64_800,15360000,468.750000,58.593750,0.732422,65678177,4484073,66146139,4495814,253362,164047972,205212,66044700,66050850,3.348302
adi_N64_900,19440000,593.261719,74.157715,0.926971,89268287,6373167,87209381,6333802,437,207592730,230756,87203908,87213338,2.696661
adi_N64_1024,25165824,768.000000,96.000000,1.200000,115261261,11283803,113699244,11406231,389674,268700787,262512,113682659,113696252,3.838586
adi_N128_16,6144,0.187500,0.023438,0.000293,243,59,220,97,3,139435,3066,137,237,0.001584
adi_N128_32,24576,0.750000,0.093750,0.001172,1314,86,1309,131,8,540848,8470,2811,2773,0.006548
adi_N128_64,98304,3.000000,0.375000,0.004687,696240,788,694924,630,26,2130113,21072,694767,694867,0.026784
adi_N128_128,393216,12.000000,1.500000,0.018750,3149775,347877,3142392,348126,102,8454408,67036,3141344,3141476,0.114569
adi_N128_256,1572864,48.000000,6.000000,0.075000,12916662,1626566,12880238,1625903,3156,33686051,133701,12880002,12880045,0.458880
adi_N128_300,2160000,65.917969,8.239746,0.102997,18152086,1837044,17748748,1837314,71493,46234274,154344,17752409,17754275,0.589518
adi_N128_400,3840000,117.187500,14.648438,0.183105,31392407,2877460,31417982,2883994,439804,82127451,205595,31415000,31418919,1.648868
adi_N128_512,6291456,192.000000,24.000000,0.300000,53466028,3470176,53083589,3469273,798135,134483113,262809,53094357,53103777,1.815307
adi_N128_600,8640000,263.671875,32.958984,0.411987,75191100,6190110,74470565,6198478,807302,184629354,307781,74456716,74462834,2.283654
