name,estimated_data_size (eds in bytes),eds/L1_cache,eds/L2_cache,eds/L3_cache,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_TLB_DM,PAPI_BR_TKN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_TCA,Runtime (secs)
2mm_N64,163840,2.500000,0.312500,0.015625,2562,1189,2213,1212,41,540971,8366,6323,6425,0.004898
2mm_N128,655360,10.000000,1.250000,0.062500,4243517,8098,4243326,8123,165,4260435,33138,4809396,4859647,0.046918
2mm_N256,2621440,40.000000,5.000000,0.250000,33787948,10783504,33787375,10779747,701,33818122,132158,48006519,48211879,0.505648
2mm_N300,3600000,54.931641,6.866455,0.343323,6951257,6381286,6949851,6382133,1292,54361867,181399,7191677,7220186,0.615222
2mm_N400,6400000,97.656250,12.207031,0.610352,28885820,16128365,28888454,16128374,631,128643737,323116,29625456,29658743,2.035921
2mm_N512,10485760,160.000000,20.000000,1.000000,269338038,277112279,269331012,277306649,534,269491223,530529,532741646,532855228,5.188548
2mm_N600,14400000,219.726562,27.465820,1.373291,80616425,54365263,80620601,54365503,455,433446782,725645,86850733,87123837,4.377365
2mm_N700,19600000,299.072266,37.384033,1.869202,149563300,86189858,149558727,86190284,191,687970306,989651,177693803,178497154,7.581406
2mm_N800,25600000,390.625000,48.828125,2.441406,1053993089,129344445,1053992189,129287457,693,1026579650,1298951,1081199364,1081603265,15.978596
2mm_N900,32400000,494.384766,61.798096,3.089905,424138196,183388587,424149358,183384003,296,1461264506,1642820,554265420,556976771,21.369146
2mm_N1024,41943040,640.000000,80.000000,4.000000,2152763759,2183379515,2152780547,2183930481,935,2151757562,2186892,4234216802,4237557771,76.069947
2mm_N1100,48400000,738.525391,92.315674,4.615784,1455291745,334478573,1455422166,334483838,841,2666891262,2469371,1781245787,1788610463,49.537967
2mm_N1200,57600000,878.906250,109.863281,5.493164,3656844173,433322068,3657144027,433246187,273,3461815340,2942727,3779563811,3801476721,54.010103
2mm_N1300,67600000,1031.494141,128.936768,6.446838,3557311158,552686555,3558323681,551805128,805,4400872117,3517662,4119520433,4144037107,79.805477
2mm_N1400,78400000,1196.289062,149.536133,7.476807,4927102414,687948736,4927058217,687814419,1257,5495928998,4009572,5661065204,5683833880,79.832035
2mm_N1500,90000000,1373.291016,171.661377,8.583069,5798197582,849374618,5798131188,849351816,1084,6759169843,4667887,6674116323,6714549911,125.089902
2mm_N1600,102400000,1562.500000,195.312500,9.765625,8312226896,8422957223,8312273103,8416698717,1004,8202450558,5345176,9489232069,9528263609,209.160979
2mm_N1700,115600000,1763.916016,220.489502,11.024475,9887593037,1233406351,9887939331,1233370667,365,9837781007,6054657,11178629331,11307905461,193.973736
2mm_N1800,129600000,1977.539062,247.192383,12.359619,11738574523,1461152966,11738786843,1460450682,621,11677134366,6660231,13315817383,13393739446,172.248669
2mm_N1900,144400000,2203.369141,275.421143,13.771057,13802661777,1722062689,13802907965,1722071630,1586,13732724917,7577218,15619064473,15696426821,285.544710
2mm_N2000,160000000,2441.406250,305.175781,15.258789,16906906380,2004191893,16906056046,2005108350,1910,16016241975,8246354,17502564570,17612117239,250.606086
2mm_N2100,176400000,2691.650391,336.456299,16.822815,18630067229,2326966317,18631257248,2327337168,1026,18539996211,9194939,21098296583,21278341110,372.870949
2mm_N2200,193600000,2954.101562,369.262695,18.463135,21422403465,2666365485,21422569425,2667033111,1141,21315681979,10044913,24307408668,24466935618,332.473853
2mm_N2300,211600000,3228.759766,403.594971,20.179749,24473579906,3056618326,24473820948,3056563924,1070,24355618116,11080180,27672519491,27850252642,485.981938
2mm_N2400,230400000,3515.625000,439.453125,21.972656,28427048383,25939397695,28427533134,25937173470,8264,27671613517,12150947,30135396700,30209404535,602.216038
3mm_N64,229376,3.500000,0.437500,0.021875,3936,1345,2575,1366,57,811438,12528,10769,11129,0.007152
3mm_N128,917504,14.000000,1.750000,0.087500,6366758,10392,6366579,10426,232,6390635,49666,7262929,7292499,0.068593
3mm_N256,3670016,56.000000,7.000000,0.350000,50623615,10192931,50617392,10186688,1063,50727109,198130,70935614,71329874,0.681895
3mm_N300,5040000,76.904297,9.613037,0.480652,10571486,9021303,10565943,9021355,12225,81542741,271909,10949954,11059115,0.920156
3mm_N400,8960000,136.718750,17.089844,0.854492,43044338,24167946,43030110,24168491,33995,192965536,484434,43904167,43951842,3.070438
3mm_N512,14680064,224.000000,28.000000,1.400000,403886025,419889802,403888926,420030409,574,404236713,795669,801706810,801880159,7.646827
3mm_N600,20160000,307.617188,38.452148,1.922607,120960224,81349339,120997725,81426340,333,650170089,1089188,129029840,129271030,6.531915
3mm_N700,27440000,418.701172,52.337646,2.616882,224559239,129259630,224594730,129240744,226,1031955281,1483258,266209153,267018352,11.271891
3mm_N800,35840000,546.875000,68.359375,3.417969,1580935150,193562611,1580933935,193654190,310,1539870001,1948091,1613889233,1614057422,24.144683
3mm_N900,45360000,692.138672,86.517334,4.325867,636428506,274995586,636490051,274832113,451,2191901974,2469490,831209252,833702139,31.376061
3mm_N1024,58720256,896.000000,112.000000,5.600000,3230392909,3290105866,3230469188,3289455043,815,3227674789,3359179,6342896351,6354901966,116.538997
