name,estimated_data_size (eds in bytes),eds/L1_cache,eds/L2_cache,eds/L3_cache,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_TLB_DM,PAPI_BR_TKN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_TCA,Runtime (secs)
2mm_N64,163840,5.000000,0.625000,0.007812,122869,480,37174,577,21,532621,8336,36754,37051,0.001790
2mm_N128,655360,20.000000,2.500000,0.031250,4164562,8035,1872640,7532,82,4227341,33098,1874738,1874138,0.016024
2mm_N256,2621440,80.000000,10.000000,0.125000,33721842,33616712,33580493,33617497,298,33686029,131642,33580883,33580523,0.204446
2mm_N300,3600000,109.863281,13.732910,0.171661,8993905,6911288,8576353,6913478,630,54180613,180639,8572564,8582780,0.212448
2mm_N400,6400000,195.312500,24.414062,0.305176,136034895,16029368,128587028,16032210,647,128320813,320846,128575392,128595774,0.755943
2mm_N512,10485760,320.000000,40.000000,0.500000,269446390,268949328,268944399,268949647,5620,268960781,525322,268938835,268942763,1.740589
2mm_N600,14400000,439.453125,54.931641,0.686646,552171420,65062224,431211168,65076576,7923,432721213,721214,406320619,410011753,2.297675
2mm_N700,19600000,598.144531,74.768066,0.934601,829709291,94683587,689711036,94684899,3326,686981413,981473,688614052,688851796,2.803324
2mm_N800,25600000,781.250000,97.656250,1.220703,1057642175,128876087,1024923603,128827313,2987,1025281613,1282190,1024837594,1024792170,7.947171
2mm_N900,32400000,988.769531,123.596191,1.544952,1641800216,183072950,1467443839,183033186,8973,1459621813,1621845,1467149048,1467966530,5.789442
2mm_N1024,41943040,1280.000000,160.000000,2.000000,2156542955,2144251068,2152456736,2144493820,3672,2149582861,2099242,2152164717,2152166475,12.618318
2mm_N1100,48400000,1477.050781,184.631348,2.307892,2997006315,334951048,2677761349,334392924,4592,2664422213,2422845,2677488678,2677275107,10.433726
2mm_N1200,57600000,1757.812500,219.726562,2.746582,3688991136,433426919,3470631027,433231245,53,3458882413,2883100,3466464328,3466842844,12.925762
2mm_N1300,67600000,2062.988281,257.873535,3.223419,4946140059,550229955,4419006967,549991239,3344,4397382613,3382638,4418475518,4419683900,17.998296
2mm_N1400,78400000,2392.578125,299.072266,3.738403,6179917953,687639816,5547292463,687438248,1220,5491922813,3923754,5521299326,5521547732,21.374957
2mm_N1500,90000000,2746.582031,343.322754,4.291534,7598542159,877714355,6789987771,885107868,2604,6754503013,4503925,6786028574,6787713195,26.674336
2mm_N1600,102400000,3125.000000,390.625000,4.882812,8332353906,8320356844,8197635701,8320895194,2401,8197123213,5125400,8197534825,8197712668,74.710064
2mm_N1700,115600000,3527.832031,440.979004,5.512238,11064821828,1231674543,9877713216,1231698449,775,9831783413,5783524,9877647243,9877696104,67.230193
2mm_N1800,129600000,3955.078125,494.384766,6.179810,13146372411,1464055644,11727984873,1464087033,5933,11670483613,6483691,11727962031,11727949008,63.791042
2mm_N1900,144400000,4406.738281,550.842285,6.885529,15445938429,1733908869,13790728766,1733909787,5047,13725223813,7223856,13790550835,13790495464,106.413209
